bmi,gestational_week,probability,risk
21.0,24.999999999999947,0.8292008754642852,0.5770491245357131
21.5,24.999999999999947,0.8549822614770588,0.5512677385229395
22.0,13.399999999999988,0.5320923838385913,0.5116576161614084
22.5,13.399999999999988,0.573921038693795,0.46982896130620466
23.0,13.399999999999988,0.6140835025583835,0.4296664974416161
23.5,13.299999999999988,0.6489421517181428,0.3916828482818568
24.0,13.299999999999988,0.6843028119852858,0.3563221880147139
24.5,13.199999999999989,0.713694451427663,0.3238055485723367
25.0,13.099999999999989,0.7400484407600305,0.29432655923996914
25.5,12.99999999999999,0.7633267623263698,0.2679232376736299
26.0,12.79999999999999,0.7804563963815624,0.2445436036184373
26.5,12.69999999999999,0.7977841455875263,0.2240908544124734
27.0,12.59999999999999,0.8122799658625746,0.20647003413742515
27.5,12.399999999999991,0.8209490216087322,0.19155097839126756
28.0,12.299999999999992,0.8301658084279014,0.1792091915720983
28.5,12.199999999999992,0.8368538886542344,0.16939611134576538
29.0,12.099999999999993,0.8410533448319355,0.16207165516806427
29.5,11.999999999999993,0.8427485046834438,0.15725149531655624
30.0,11.999999999999993,0.8450392493796872,0.15496075062031278
30.5,11.999999999999993,0.8446718141243632,0.1553281858756368
31.0,12.099999999999993,0.8446327479116779,0.1584922520883219
31.5,12.099999999999993,0.8387795616442273,0.16434543835577248
32.0,12.199999999999992,0.8338681761094996,0.17238182389050016
32.5,12.299999999999992,0.8273116957175465,0.18206330428245326
33.0,12.499999999999991,0.8228234131590269,0.19280158684097287
33.5,12.59999999999999,0.8147758055631044,0.20397419443689535
34.0,12.59999999999999,0.8035346888611062,0.21521531113889347
34.5,12.69999999999999,0.7953805757966519,0.2264944242033478
35.0,12.79999999999999,0.7871795211490761,0.2378204788509236
35.5,12.89999999999999,0.7789270881778745,0.2491979118221252
36.0,12.89999999999999,0.7675302219955251,0.26059477800447456
36.5,12.99999999999999,0.7592306068931858,0.2720193931068139
37.0,12.99999999999999,0.7477809582831362,0.2834690417168635
37.5,13.099999999999989,0.7394474000832878,0.29492759991671186
38.0,13.099999999999989,0.7279839507091905,0.3063910492908091
38.5,13.199999999999989,0.7196186436139036,0.31788135638609605
39.0,13.199999999999989,0.7081688351988326,0.3293311648011671
39.5,13.199999999999989,0.6967048659726185,0.34079513402738115
40.0,13.199999999999989,0.6852335519297356,0.3522664480702641
40.5,13.299999999999988,0.6769194880630587,0.36370551193694095
41.0,13.299999999999988,0.6654937327400681,0.37513126725993157
41.5,13.299999999999988,0.6540699039517537,0.38655509604824595
42.0,13.299999999999988,0.6426497884122486,0.397975211587751
42.5,13.299999999999988,0.6312340967853385,0.40939090321466115
43.0,13.399999999999988,0.6229715296109686,0.42077847038903105
43.5,13.399999999999988,0.6115913685236365,0.43215863147636313
44.0,13.399999999999988,0.6002093005851932,0.44354069941480645
44.5,13.399999999999988,0.5888226303616768,0.4549273696383228
45.0,13.399999999999988,0.5774280303609596,0.46632196963904005
45.5,13.399999999999988,0.5660216354358382,0.47772836456416146
46.0,13.399999999999988,0.5545991383598237,0.48915086164017596
46.5,13.399999999999988,0.5431558864547978,0.5005941135452018
47.0,13.399999999999988,0.5316870178046402,0.5120629821953594
