variable,x,fit,low,high
week,11.0,0.058929106204097095,0.05501317079683384,0.06310517069835243
week,11.117647058823529,0.05902975140599592,0.055174841493846195,0.06313599542401677
week,11.235294117647058,0.05913410938908943,0.055337286641099,0.06317401971014294
week,11.352941176470589,0.05924219802338168,0.05550050923847206,0.06321925656477087
week,11.470588235294118,0.0593540358306369,0.05566451701613652,0.06327171597878739
week,11.588235294117647,0.05946964198885488,0.05582932288197298,0.0633314044803894
week,11.705882352941176,0.059589036336902865,0.055994945349374166,0.06339832470973658
week,11.823529411764707,0.05971223937930419,0.056161408935688446,0.06347247502353788
week,11.941176470588236,0.0598392722911848,0.056328744521374714,0.0635538491395011
week,12.058823529411764,0.05997015692337837,0.056496989660112705,0.06364243583040223
week,12.176470588235293,0.06010491580769126,0.056666188830677505,0.06373821867696686
week,12.294117647058824,0.06024357216232757,0.05683639362235597,0.06384117588778547
week,12.411764705882353,0.06038614989747591,0.057007662847046406,0.06395128019312388
week,12.529411764705882,0.06053267362105839,0.05718006257289867,0.06406849881777109
week,12.647058823529411,0.06068316864464286,0.05735366607635945,0.06419279353606225
week,12.764705882352942,0.060837660989519496,0.05752855371169667,0.06432412081000338
week,12.882352941176471,0.06099617739294243,0.05770481269938366,0.06446243200911915
week,13.0,0.06115874531453794,0.05788253683701288,0.06460767370835556
week,13.117647058823529,0.06132539294287953,0.05806182613856393,0.0647597880582142
week,13.235294117647058,0.061496149202231336,0.05824278640976594,0.06491871321938011
week,13.352941176470589,0.06167104375946094,0.05842552876887477,0.0650843838525256
week,13.470588235294118,0.06185010703112216,0.05861016912336625,0.06525673165278946
week,13.588235294117647,0.06203337019070948,0.05879682761378556,0.06543568591769536
week,13.705882352941178,0.06222086517608457,0.05898562803627798,0.06562117413698579
week,13.823529411764707,0.062412624697076265,0.059176697255175194,0.06581312259299972
week,13.941176470588236,0.06260868224325486,0.05937016461646519,0.06601145696076963
week,14.058823529411764,0.06280907209188206,0.05956616137208984,0.06621610289789547
week,14.176470588235293,0.06301382931603719,0.05976482012387206,0.06642698661539743
